Place_ID X Date,target
0OS9LVX X 2020-01-02,64.60813695015374
0OS9LVX X 2020-01-03,41.03688582307509
0OS9LVX X 2020-01-04,37.63419742548704
0OS9LVX X 2020-01-05,45.77050728239483
0OS9LVX X 2020-01-06,22.132477783643708
0OS9LVX X 2020-01-07,17.107066333016533
0OS9LVX X 2020-01-08,38.93384263911899
0OS9LVX X 2020-01-09,48.571691336091355
0OS9LVX X 2020-01-10,40.17478125692296
0OS9LVX X 2020-01-11,55.123808528996356
0OS9LVX X 2020-01-12,36.17726744684046
0OS9LVX X 2020-01-13,49.58377856212111
0OS9LVX X 2020-01-14,34.885758365868355
0OS9LVX X 2020-01-15,45.45513585078713
0OS9LVX X 2020-01-16,32.91874447263315
0OS9LVX X 2020-01-17,34.71878176162089
0OS9LVX X 2020-01-18,49.51664113947587
0OS9LVX X 2020-01-19,61.85661818959572
0OS9LVX X 2020-01-20,36.3550953039733
0OS9LVX X 2020-01-21,45.12767232490169
0OS9LVX X 2020-01-22,45.6278921558812
0OS9LVX X 2020-01-23,34.92730190913562
0OS9LVX X 2020-01-24,31.214328965836994
0OS9LVX X 2020-01-25,35.582359735934034
0OS9LVX X 2020-01-26,20.538706039960886
0OS9LVX X 2020-01-27,34.26736893025802
0OS9LVX X 2020-01-28,34.04228918192444
0OS9LVX X 2020-01-29,38.298644190599454
0OS9LVX X 2020-01-30,45.8792665374187
0OS9LVX X 2020-01-31,58.395352068908224
0OS9LVX X 2020-02-01,28.652852552523434
0OS9LVX X 2020-02-02,32.58369311782314
0OS9LVX X 2020-02-03,49.241348951777965
0OS9LVX X 2020-02-04,45.95754337439581
0OS9LVX X 2020-02-05,46.33102645624991
0OS9LVX X 2020-02-06,33.321768337433014
0OS9LVX X 2020-02-07,62.943016426629356
0OS9LVX X 2020-02-08,31.395096880895185
0OS9LVX X 2020-02-09,36.87835011937601
0OS9LVX X 2020-02-10,42.56850180428644
0OS9LVX X 2020-02-11,40.969982132370035
0OS9LVX X 2020-02-12,33.86594283044923
0OS9LVX X 2020-02-13,30.694857886250563
0OS9LVX X 2020-02-14,45.85917541927789
0OS9LVX X 2020-02-15,39.23219829740793
0OS9LVX X 2020-02-16,35.55980659540646
0OS9LVX X 2020-02-17,40.86999082805066
0OS9LVX X 2020-02-18,37.004934768946065
0OS9LVX X 2020-02-19,50.56930655260009
0OS9LVX X 2020-02-20,39.0012082869357
0OS9LVX X 2020-02-21,34.25578927259964
0OS9LVX X 2020-02-22,41.67079551836335
0OS9LVX X 2020-02-23,40.78989389541256
0OS9LVX X 2020-02-24,33.39812460646775
0OS9LVX X 2020-02-25,33.33825648471698
0OS9LVX X 2020-02-26,27.217054384111606
0OS9LVX X 2020-02-27,35.14980712995144
0OS9LVX X 2020-02-28,31.135877857923056
0OS9LVX X 2020-02-29,29.968658436984917
0OS9LVX X 2020-03-01,35.056481787658484
0OS9LVX X 2020-03-02,36.89956189712027
0OS9LVX X 2020-03-03,36.02905926890878
0OS9LVX X 2020-03-04,40.46907094361989
0OS9LVX X 2020-03-05,37.06276480443188
0OS9LVX X 2020-03-06,35.109106574956606
0OS9LVX X 2020-03-07,44.92219878842275
0OS9LVX X 2020-03-08,28.026947937112183
0OS9LVX X 2020-03-09,38.60305806764311
0OS9LVX X 2020-03-10,35.76016467027404
0OS9LVX X 2020-03-11,37.04367079452343
0OS9LVX X 2020-03-12,30.027106633025856
0OS9LVX X 2020-03-13,38.13146180156052
0OS9LVX X 2020-03-14,34.835688964828954
0OS9LVX X 2020-03-15,36.36879025433285
0OS9LVX X 2020-03-16,31.765639746227997
0OS9LVX X 2020-03-17,30.470504185199573
0OS9LVX X 2020-03-18,34.41411183850046
0OS9LVX X 2020-03-19,29.36865822458781
0OS9LVX X 2020-03-20,36.28984088477112
0OS9LVX X 2020-03-21,30.29603161859641
0OS9LVX X 2020-03-22,28.845166208595835
0OS9LVX X 2020-03-23,34.28310110698635
0OS9LVX X 2020-03-24,35.212772958496416
0OS9LVX X 2020-03-25,40.27096259487425
0OS9LVX X 2020-03-26,31.26098690176119
0OS9LVX X 2020-03-27,30.965362091103025
0OS9LVX X 2020-03-28,42.75736062319719
0OS9LVX X 2020-03-29,43.79727168910185
0OS9LVX X 2020-03-30,52.63766523476028
0OS9LVX X 2020-03-31,49.52020576021241
0OS9LVX X 2020-04-01,49.67186384548369
0OS9LVX X 2020-04-02,34.64256660346058
0OS9LVX X 2020-04-03,57.3919991370541
0OS9LVX X 2020-04-04,76.64268129506493
0Q2LTOG X 2020-01-02,133.2918811422265
0Q2LTOG X 2020-01-03,130.7031135602096
0Q2LTOG X 2020-01-04,147.14234462967974
0Q2LTOG X 2020-01-05,125.14024053108332
0Q2LTOG X 2020-01-06,115.82258212334312
0Q2LTOG X 2020-01-07,61.41538978008223
0Q2LTOG X 2020-01-08,42.86647805292415
0Q2LTOG X 2020-01-09,106.38862345010054
0Q2LTOG X 2020-01-10,121.72357027629609
